Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M58;58;CE;0,68;0,14;47,37;16,15;0,47;3,91;0,89;0,74;0,01;0,03;0,03;
M59;59;YS;1,48;0,05;24,77;17,14;10,33;3,42;0,93;0,34;0,01;0,03;0,04;
M60;60;YS;1,5;0,05;23,72;1,16;11,59;3,27;0,76;0,35;0,01;0,03;0,02;
M61;61;CE;0,91;0,14;40,78;1,73;2,89;8,93;1,8;0,75;0,01;0,03;0,08;
M62;62;CE;0,66;0,12;47,51;1,87;0,16;11,1;3,73;0,61;0,02;0,03;0,02;
M63;63;CE;0,65;0,15;43,35;1,65;0,14;7,67;1,58;0,77;0,01;0,03;0,02;
M64;64;PG;0,65;0,03;48,69;3,12;0,23;6,78;1,38;0,17;0,01;0,02;0,02;
M65;65;PG;0,57;0,11;47,7;2,69;0,13;9,04;1,28;0,68;0,01;0,02;0,09;
M66;66;PG;0,54;0,08;48;2,62;0,13;8,91;1,26;0,44;0,01;0,02;0,09;
M67;67;CE;1,3;0,25;44,17;4,84;1,57;7,9;;1,45;0,02;0,04;0;
M68;68;PG;0,8;0,11;45,92;2,9;1,14;8,54;;0,84;0,02;0,04;0;
M69;69;PG;0,91;0,2;46,34;2,22;0,46;8,33;;1,03;0,02;0,04;0;
M70;70;PG;1,32;0,16;47,22;2,48;0,92;6,8;;1,08;0,02;0,04;0;
M71;72;PG;0,8;0,14;47,72;2,26;0,55;7,64;;0,88;0,02;0,04;0,03;0
M72;73;PG;0,91;0,25;47,2;2,3;0,53;7,71;;1,22;0,02;0,04;0,02;0
M73;74;PG;1,17;0,17;47,22;2,49;0,57;6,66;;1,06;0,02;0,05;0,02;0
M74;75;PG;1,1;0,24;46,03;3,3;1,66;6,31;;0,12;0,02;0,05;0,02;0
M75;77;PG;0,88;0,16;47,37;2,36;0,59;8,29;;0,74;0,02;0,04;0,01;0
M76;78;PG;1,17;0,23;46,45;2,9;1,04;6,82;;0,96;0,02;0,05;0,02;0
M77;79;PG;1;0,15;47,82;2,7;1,3;7,49;;0,57;0,02;0,03;0,02;0
M78;80;PG;0,98;0,19;47,78;3,01;1,51;7,18;;0,94;0,02;0,03;0,02;0
M79;82;PG;1,18;0,13;44,07;5,34;3,88;5,69;;0,99;0,02;0,05;0,02;0
M80;83;PG;1,16;0,22;44,26;4,3;2,99;5,71;;1,89;0,03;0,05;0,02;0,01
M81;84;PG;0,9;0,17;47,35;2,55;0,8;7,6;;0,9;0,02;0,04;0,04;0
M82;85;YN;0,91;0,1;44,08;4,89;1,62;8,32;;0,77;0,02;0,03;0,04;0
M83;87;YS;0,84;0,17;42,26;5,72;5,54;6,51;;0,73;0,02;0,04;0,03;0
M84;88;YN;1,1;0,08;36,87;11,73;3,74;7,22;;0,72;0,02;0,03;0,03;0
M85;89;YN;1,22;0,14;42,19;8,65;2,29;6,38;;1,11;0,02;0,04;0,03;0
M86;90;YN;1,15;0,15;43,59;6,69;1,88;7,44;;1,03;0,03;0,03;0,03;0
M87;92;YN;1,23;0,09;43,18;9,31;2,62;5,99;;0,79;0,02;0,04;0,05;0
M88;93;YN;1,24;0,13;45,85;8,04;1,73;5,58;;0,99;0,02;0,04;0,05;0
M89;94;YN;0,87;0,07;31,08;16,09;10,52;5,79;;0,55;0,02;0,03;0,07;0
M90;95;YS;0,8;0,09;28,19;19,31;17,83;3,64;;0,44;0,02;0,03;0,05;0
M91;97;YS;0,97;0,09;27,6;20,18;17,73;3,48;;0,41;0,02;0,03;0,06;0
M92;98;YS;0,82;0,1;31,99;16,34;13,98;4,69;;0,51;0,02;0,03;0,05;0
M93;99;YS;0,77;0,07;25,09;23,59;19,37;2,86;;0,4;0,01;0,03;0,05;0
M94;100;YN;1,4;0,12;43,38;7,84;1,85;5,91;;1,09;0,01;0,04;0,05;0
M95;102;YS;0,91;0,07;22,67;27,03;21,86;2,47;;0,41;0,01;0,03;0,05;0
M96;103;YS;0,9;0,09;29,69;16,61;16,62;4,36;;0,51;0,01;0,03;0,06;0
M97;104;YS;0,81;0,07;23,71;23,79;21,07;2,66;;0,42;0,01;0,03;0,07;0
M98;105;YS;1,17;0,07;23,21;26,66;21,96;2,16;;0,43;0,01;0,02;0,05;0
M99;107;YN;1,21;0,09;37,19;10,13;4,52;5,81;;0,83;0,01;0,03;0,08;0,01
M100;108;PG;0,98;0,16;44,88;3,84;2,05;6,63;;0,88;0,01;0,04;0,06;0
M101;109;PG;1,09;0,2;45,44;3,95;1,76;6,46;;0,91;0,01;0,04;0,04;0
M102;110;YS;1,62;0,05;23,75;23,37;19,34;3,46;;0,46;0,01;0,04;0,07;0,01
M103;112;YS;1,86;0,04;20,65;24,53;18,99;4,53;;0,42;0,01;0,04;0,11;0,01
M104;113;YN;1,15;0,1;36,02;14,2;5,74;4,97;;0,83;0,01;0,03;0,06;0,01
